DarkChicken ,0,12/6/2010, Điểm excercise 4 ! , " Xin xem_lại điểm em ex 4 em học T3 tiết 1-3 402C6 , có đi học và nộp bài đầy_đủ mà 0 diem MSSv : 50801536 - Phạm_Anh_Quốc_Phiên ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_Man ,0,12/27/2010, Thắc_mắc điểm lab 7 , " Em học bù vào sáng thứ 3 , tiết 5-6 , sao em bị 0 điểm vậy thầy MSSV : 50801132 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sang_Nguyen_Van ,1,12/27/2010, Điểm_Lab 6 , " Tên : Nguyễn_Văn_Sang MSSV : 50404483 Lớp thực_hành : 101B1 , GD - Thầy : Trần_Vĩnh_Tân_Thầy xem_lại cho em điểm lab 6 cho e với ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sang_Nguyen_Van ,1,12/27/2010, Re : Điểm_Lab 6 , Cảm_ơn thầy !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le phuc ,0,12/27/2010, Re : Điểm_Lab 6 , " Tên : Lê_Duy_Phúc MSSV : 50502092 Lớp thực_hành : 101B1 , GD - Thầy : Trần_Vĩnh_Tân_Xin thầy xem_lại cho em điểm lab 6 cho em với ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duy_Nguyen_Khanh ,0,12/27/2010, Lab 7 có điểm hok mọi người ? , Lab 7 mấy pồ có điểm hok ? Của mình chỉ có dấu gạch ( - ) là sao vậy ta ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_ C ,0,12/22/2010, Thắc_mắc diem Lab6 , Dạ em tên : Trương_Vũ_Minh_Trí MSSV : 50802348 Học tiết 12 sáng thứ 3 . Lab6 em có làm bài đầy_đủ và làm đúng bài trên lớp thì_sao được có 5d ạh ? Xin thầy xem_lại giúp em Em xin cảm_ơn nhìu !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pirent - - ,0,12/27/2010, Lab 7 có điểm hok mọi người ? , " lab7 chưa hỏi thầy dc j , đã bị thầy hành cho 2 bài reverse list vs eval e . CUối h thầy cho ăn hành tập 2 : ai vô trễ 5d ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nguyen_Pham_Luan_Tien ,0,12/27/2010, Lab 7 có điểm hok mọi người ? , " em có đi học sao lab 7 bị 0đ thầy xem_lại giúp em mssv : 50702449 , ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_Man ,0,12/28/2010, Re : Lab 7 có điểm hok mọi người ? , " Em học bù vào sáng thứ 3 , tiết 5-6 , sao em bị 0 điểm vậy thầy MSSV : 50801132 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nguyen_Pham_Luan_Tien ,0,12/28/2010, Lab 7 có điểm hok mọi người ? , " em học tiết 3,4 sáng T2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25251325,0,1/1/2011, Re : Lab 7 có điểm hok mọi người ? , " Thưa thầy , sao exer 5 của em và Lab6 của em lại bị 0 điểm vậy thầy . Lab 6 em có đi học và nộp bài , còn exer 5 em đi học bù vào thứ 3 tiết 34 , em không biêt tên thầy đó , nhưng em đã nói với thầy đó và thầy đó cũng đã đồng_ý rồi , mong thầy xem_xét lại giúp em . Em chi nghĩ hôm Lab7 thôi ah MSSV của em : 50802643 Thanks thầy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_ C ,0,12/24/2010, Re : Thắc_mắc diem Lab6 , " Em post trên forum này nhưng thầy không vào reply chắc do bận bên forum Ass2 nên em mới post tạm bên forum Ass2 cho thầy biết , thế_mà thầy del bài cũng_như hok reply ở đây cho em , cái này là yêu_cầu chính_đáng mà ! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_ C ,0,12/24/2010, Thắc_mắc diem Lab6 , " Thang_Duong_Chi wrote : Lab6 có 2 phần : bài trên lớp và bài vẽ cây AST . Bài vẽ cây AST bạn bị sai ở chỗ program AST - > decl _ list nên bài vẽ cây AST bạn bị 0 điểm . Do bạn có làm bài trên lớp nên được 5 điểm . Nếu theo anh nói vậy_thì em nghĩ là phải có 3 phần chứ nhỉ ? Phần làm bài ở nhà , phần bài trên lớp và phần vẽ cây AST . Nếu phần ở nhà không chấm thì em chả ngồi mà viết 2 cặp giấy để nộp cả ! Nếu_vậy thì cần gì phải làm bài ở nhà đâu , làm sơ_sơ đủ để lên_lớp nộp đại và làm bài được rồi ! Còn nếu chấm phần làm bài ở nhà thì em cũng đúng được 2 phần rồi sao được 5d ? ? ? Cây AST nếu chấm khắt_khe wá thì đúng là sai ( chứ em nghĩ là cũng đúng được một phần , làm j sai hết được ) Mong anh có câu trả_lời hợp_lý hơn ạh ! Em xin cảm_ơn ! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_ C ,0,12/25/2010, Thắc_mắc diem Lab6 , Tân_Trần_Vĩnh wrote : Đối_với những buổi Lab có làm bài_tập ngay trên lớp thì chúng_tôi sẽ chấm điểm tại lớp . Nộp bài trước buổi học chỉ mang tính điểm_danh và kiểm_tra xem các bạn có chuẩn_bị bài ở nhà hay không thôi . Nếu thầy nói vậy_thì em chịu ! Nhưng lần sau ( nếu có ) thì xin các thầy nói rõ trước trong bài lab là chỉ nộp với tính_chất điểm_danh thôi để em khỏi mất thời_gian ngồi viết lại hết cái đống bùi_nhùi mà_còn làm chuyện khác nữa ạh ! Em xin cảm_ơn !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le phuc ,0,12/27/2010, Re : Thắc_mắc diem Lab6 , " Tên : Lê_Duy_Phúc MSSV : 50502092 Lớp thực_hành : 101B1 , GD - Thầy : Trần_Vĩnh_Tân_Xin thầy xem_lại cho em điểm lab 6 cho em với , em có đi thực_hành buổi đó mà bị 0 điểm . ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pham_Quoc_Cuong ,0,1/21/2011, Thưa_Thầy cho em hỏi điểm total cua ass 1 ! , " Em chào Thầy ! theo trong grade Book thì Ass1 s1 + s2 của e là 9.4 Ass1 s3 của e là 9.8 = > total Ass1 của e phải là 9.6 chứ Thầy , nhưng trong grade Book chỉ co 9.4 . xin Thầy xem_lại giùm e . e xem điểm của bạn khác thì ass 1 s1s2 9.4 còn ass 1 s3 là 9.9 = > total là 9.7 MSSV của em là 50800252 . Xin_Thầy xem_lại giùm e . Em cảm_ơn Thầy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
